categoryID,categoryNum,categoryDescEN,categoryDescFR,subcategoryNum,subcategoryDescEN,subcategoryDescFR,categoryTypeEN,categoryTypeFR
C30-9,30,Christianity,Christianisme,9,Mennonite / Brethren / Hutterite  ,Ménnonites / Frères / Hutterite,Advancement of Religion,Avancement de la religion
C30-10,30,Christianity,Christianisme,10,Orthodox                ,Orthodoxe ,Advancement of Religion,Avancement de la religion
C30-11,30,Christianity,Christianisme,11,Pentecostal  ,Pentecôtiste,Advancement of Religion,Avancement de la religion
C30-12,30,Christianity,Christianisme,12,Presbyterian  ,Presbytériennes,Advancement of Religion,Avancement de la religion
C30-13,30,Christianity,Christianisme,13,Protestant  ,Protestant,Advancement of Religion,Avancement de la religion
C30-14,30,Christianity,Christianisme,14,Salvation Army Temples,Temples de l'Armée du Salut,Advancement of Religion,Avancement de la religion
C30-15,30,Christianity,Christianisme,15,United  ,Unie,Advancement of Religion,Avancement de la religion
C30-99,30,Christianity,Christianisme,99,Other,Autre,Advancement of Religion,Avancement de la religion
C40-1,40,Islam,Islam,1,Ahmadi,Ahmadi,Advancement of Religion,Avancement de la religion
C40-2,40,Islam,Islam,2,Alevi,Alévie,Advancement of Religion,Avancement de la religion
C40-3,40,Islam,Islam,3,Ismaili,Ismaili,Advancement of Religion,Avancement de la religion
C40-4,40,Islam,Islam,4,Salafi / Wahhabi,Salafi / Wahhabi,Advancement of Religion,Avancement de la religion
C40-5,40,Islam,Islam,5,Shia,Shia / Chiite,Advancement of Religion,Avancement de la religion
C40-6,40,Islam,Islam,6,Sufi,Soufie,Advancement of Religion,Avancement de la religion
C40-7,40,Islam,Islam,7,Sunni,Sunnite,Advancement of Religion,Avancement de la religion
C40-99,40,Islam,Islam,99,Other ,Autre,Advancement of Religion,Avancement de la religion
C50-1,50,Judaism,Judaïsme,1,Conservative,Conservateur,Advancement of Religion,Avancement de la religion
C50-2,50,Judaism,Judaïsme,2,Kabbalah,Kabbale,Advancement of Religion,Avancement de la religion
C50-3,50,Judaism,Judaïsme,3,Orthodox,Orthodoxe,Advancement of Religion,Avancement de la religion
C50-4,50,Judaism,Judaïsme,4,Reform,Réforme,Advancement of Religion,Avancement de la religion
C50-99,50,Judaism,Judaïsme,99,Other ,Autre,Advancement of Religion,Avancement de la religion
C60-1,60,Other Religions,Autres religions,1,Baha'i    ,Bahaïs,Advancement of Religion,Avancement de la religion
C60-2,60,Other Religions,Autres religions,2,Buddhism ,Bouddhisme,Advancement of Religion,Avancement de la religion
C60-3,60,Other Religions,Autres religions,3,Hinduism ,Hindouisme,Advancement of Religion,Avancement de la religion
C60-4,60,Other Religions,Autres religions,4,Jainism ,Jaïnisme,Advancement of Religion,Avancement de la religion
C60-5,60,Other Religions,Autres religions,5,Sikhism,Sikhisme,Advancement of Religion,Avancement de la religion
C60-6,60,Other Religions,Autres religions,6,Zoroastrianism,Zoroastrisme,Advancement of Religion,Avancement de la religion
C60-99,60,Other Religions,Autres religions,99,Other,Autre,Advancement of Religion,Avancement de la religion
C70-1,70,Support of Religion ,Les organismes de soutien religieux ,1,Cemeteries (religious),Cimetières (religieux),Advancement of Religion,Avancement de la religion
C70-2,70,Support of Religion,Les organismes de soutien religieux,2,Convents and Monasteries,Couvents et monastères,Advancement of Religion,Avancement de la religion
C70-3,70,Support of Religion,Les organismes de soutien religieux,3,Counselling (faith based),Counseling (basée sur la foi),Advancement of Religion,Avancement de la religion
C70-4,70,Support of Religion,Les organismes de soutien religieux,4,Crusade - one-time event ,Croisade - événement unique,Advancement of Religion,Avancement de la religion
C70-5,70,Support of Religion,Les organismes de soutien religieux,5,Mission / Missionary organization,Mission / association évangélique,Advancement of Religion,Avancement de la religion
C70-6,70,Support of Religion,Les organismes de soutien religieux,6,Fund / endowment for specific faith based organization,Fondation / dotation pour une église en particulier,Advancement of Religion,Avancement de la religion
C70-7,70,Support of Religion,Les organismes de soutien religieux,7,Music - ministries / religious festivals,Musique - ministères / fêtes religieuses,Advancement of Religion,Avancement de la religion
C70-8,70,Support of Religion,Les organismes de soutien religieux,8,Language translation - enable the reading of sacred text ,Traduction de textes sacrés,Advancement of Religion,Avancement de la religion
C70-9,70,Support of Religion,Les organismes de soutien religieux,9,Library - spiritual and educational resources,Bibliothèque - ressources spirituelles et éducatives,Advancement of Religion,Avancement de la religion
C70-10,70,Support of Religion,Les organismes de soutien religieux,10,Pastoral care - hospice / hospital / prison,Soins pastoraux - hospice / hôpital / prison,Advancement of Religion,Avancement de la religion
C70-11,70,Support of Religion,Les organismes de soutien religieux,11,Pilgrimages,Pèlerinages,Advancement of Religion,Avancement de la religion
C70-12,70,Support of Religion,Les organismes de soutien religieux,12,Prayer fellowships / ministries / circles,Groupes de prière / ministères / cercles,Advancement of Religion,Avancement de la religion
C70-13,70,Support of Religion,Les organismes de soutien religieux,13,Providing and maintaining facilities / title-holding entities ,Fournir et maintenir des installations / Détention de titres,Advancement of Religion,Avancement de la religion
C70-14,70,Support of Religion,Les organismes de soutien religieux,14,Religious education classes (bible study),Cours d'éducation religieuse (étude de la bible),Advancement of Religion,Avancement de la religion
C70-15,70,Support of Religion,Les organismes de soutien religieux,15,Retirement / nursing / rehabilitation etc.,"Soutien à la retraite / infirmiers / réhabilitation, etc.",Advancement of Religion,Avancement de la religion
C70-16,70,Support of Religion,Les organismes de soutien religieux,16,Retreats - marriage encounter / spiritual / youth,Retraites - rencontre de mariage / spirituelle / jeunesse,Advancement of Religion,Avancement de la religion
C70-17,70,Support of Religion,Les organismes de soutien religieux,17,Scholarships / bursaries / awards (religious courses),Bourses (cours religieux),Advancement of Religion,Avancement de la religion
C70-18,70,Support of Religion,Les organismes de soutien religieux,18,Facilitator organization supporting and enhancing the work of groups involved in the advancement of religion,Organisme-cadre qui appuie et améliore le travail de groupes impliqués dans l'avancement de la religion,Advancement of Religion,Avancement de la religion
C70-19,70,Support of Religion,Les organismes de soutien religieux,19,Youth ministries / camps ,Ministères pour les jeunes / camps,Advancement of Religion,Avancement de la religion
C70-99,70,Support of Religion,Les organismes de soutien religieux,99,Other ,Autre,Advancement of Religion,Avancement de la religion
C80-1,80,Ecumenical and Inter-faith Organizations,Organismes inter-religieux et œcuméniques,1,Supporting/enhancing the work of religious groups / Collaborating with other denominations / Discussing theological topics,Appuyer/améliorer le travail de groupes religieux / Collaborer avec autres dénominations / Discuter de sujets théologiques,Advancement of Religion,Avancement de la religion
C90-1,90,Foundations Advancing Religions ,Fondations qui avancent la religion,1,Foundations for specified religious charities,Fondations pour organismes de bienfaisance spécifiques - religion,Advancement of Religion,Avancement de la religion
C90-2,90,Foundations Advancing Religions,Fondations qui avancent la religion,2,Foundations funding religious QDs in general,Fondations versant des fonds à des DR en général - religion,Advancement of Religion,Avancement de la religion
C100-1,100,Core Health Care,Soins de santé essentiels ,1,Addiction recovery programs and centres,Programmes et centres d'aide à la toxicomanie / alcoolisme / autres dépendances,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-2,100,Core Health Care,Soins de santé essentiels,2,Community health centre / medical clinic,Centre de santé communautaire / clinique médicale,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-3,100,Core Health Care,Soins de santé essentiels,3,Dental Clinic,Clinique dentaire,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-4,100,Core Health Care,Soins de santé essentiels,4,Counselling or support group programs,Programmes de counseling ou groupes de soutien,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-5,100,Core Health Care,Soins de santé essentiels,5,First aid services,Services de premiers soins,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-6,100,Core Health Care,Soins de santé essentiels,6,Hospitals (diagnosing and treating health conditions),Hôpitaux (diagnostiquer et traiter des conditions de santé),Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-7,100,Core Health Care,Soins de santé essentiels,7,Hospice,Hospice,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-8,100,Core Health Care,Soins de santé essentiels,8,Providing home health care ,Fournir des soins de santé à domicile,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-9,100,Core Health Care,Soins de santé essentiels,9,Providing palliative care service,Fournir des services de soins palliatifs,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-10,100,Core Health Care,Soins de santé essentiels,10,Providing preventative care ,Fournir des soins préventifs,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-11,100,Core Health Care,Soins de santé essentiels,11,Providing psychological counselling ,Fournir des services de counseling psychologique ou des services sociaux,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-12,100,Core Health Care,Soins de santé essentiels,12,"Providing physical, occupational, speech or massage therapy","Fournir des services de physiothérapie, d'ergothérapie ou de massothérapie",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-13,100,Core Health Care,Soins de santé essentiels,13,Rehabilitation programs and centres,Programmes et centres d'aide à la réhabilitation,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-14,100,Core Health Care,Soins de santé essentiels,14,Treatment / preventative care for specific disease / health condition ,Traitement / soins préventifs pour une maladie / état de santé spécifique,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C100-99,100,Core Health Care,Soins de santé essentiels,99,Other,Autre,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-1,110,Supportive Health Care,Soins de santé de soutien,1,Accompanying individuals to medical appointment / translate / interpret,Accompagnement à des rendez-vous médicaux / traduire / interpréter,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-2,110,Supportive Health Care,Soins de santé de soutien,2,Accommodation for hospital patients' visit,Hébergement pour visiteurs de patients hospitalisés,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-3,110,Supportive Health Care,Soins de santé de soutien,3,Family planning / birth control / pregnancy crisis counseling,Planification familiale et conseils sur le contrôle des naissances,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-4,110,Supportive Health Care,Soins de santé de soutien,4,General health promotion / prevention,Organisme de promotion / prévention de la santé ,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-5,110,Supportive Health Care,Soins de santé de soutien,5,Health Boards - established by province,Commission de santé - créé par la province,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-6,110,Supportive Health Care,Soins de santé de soutien,6,Independent living skills (peer support / referrals),Améliorer l'autonomie / capacité  à vivre seul (soutien par les pairs / aiguillage),Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-7,110,Supportive Health Care,Soins de santé de soutien,7,Health counselling and group support programs,Accès à des conseils de santé / info / programmes de soutien de groupe,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-8,110,Supportive Health Care,Soins de santé de soutien,8,Health Councils - established by province,Conseil de la santé - créé par la province,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-9,110,Supportive Health Care,Soins de santé de soutien,9,Health / medical conference / seminars,Conférence / séminaire sur la santé / médecine,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-10,110,Supportive Health Care,Soins de santé de soutien,10,Hospital auxiliaries,Auxiliaires bénévoles - dans les hôpitaux,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-11,110,Supportive Health Care,Soins de santé de soutien,11,Providing comfort items (cope with hospitalization / health condition),Fournir des éléments de confort (faire face à l'hospitalisation / état de santé),Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-12,110,Supportive Health Care,Soins de santé de soutien,12,Respite for caregivers of persons with serious health conditions,Répit pour les aidants des personnes atteintes de problèmes de santé graves,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-13,110,Supportive Health Care,Soins de santé de soutien,13,Services that facilitate the delivery of health care,Services qui facilitent la livraison des soins de santé,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-14,110,Supportive Health Care,Soins de santé de soutien,14,Services for adults and children with developmental disabilities,Services pour adultes et enfants ayant des déficiences liées au développement,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-15,110,Supportive Health Care,Soins de santé de soutien,15,Transportation to medical appointments,Transport aux rendez-vous médicaux,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-16,110,Supportive Health Care,Soins de santé de soutien,16,Voluntary Association for specific hospital / home,Association bénévole pour un hôpital en particulier / foyer,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C110-99,110,Supportive Health Care,Soins de santé de soutien,99,Other,Autre,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-1,120,Protective Health Care ,Soins relatifs à la protection de la santé,1,Ambulance or paramedic services,Ambulance ou services paramédicaux,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-2,120,Protective Health Care,Soins relatifs à la protection de la santé,2,Disaster relief,Secours aux sinistrés,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-3,120,Protective Health Care,Soins relatifs à la protection de la santé,3,Voluntary Fire-fighting services,Services d'incendie bénévoles,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-4,120,Protective Health Care,Soins relatifs à la protection de la santé,4,Regulating / governing health care service providers and standards,Réglementer / régir les fournisseurs de services de soins de santé,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-5,120,Protective Health Care,Soins relatifs à la protection de la santé,5,Safety council / society,Conseil de sécurité,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-6,120,Protective Health Care,Soins relatifs à la protection de la santé,6,Search and rescue / lifesaving services,Recherche et sauvetage / services de secourisme,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C120-99,120,Protective Health Care,Soins relatifs à la protection de la santé,99,Other,Autre,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C130-1,130,Health Care Products,Produits de soins de santé,1,Drugs (radiopharmaceutical / biologics / medicines / vaccines),"Médicaments (radiopharmaceutiques, biologiques, médicaments, vaccins)",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C130-2,130,Health Care Products,Produits de soins de santé,2,Medical equipment / supplies (for use inside or outside Canada),Équipement / fournitures médicales (à l'intérieur ou l'extérieur du Canada),Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C130-3,130,Health Care Products,Produits de soins de santé,3,Providing natural health products,Fournir des produits de santé naturels,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C130-99,130,Health Care Products,Produits de soins de santé,99,Other,Autre,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-1,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,1,Alternative medical services / products (dietary / herbal supplements),"Services / produits médicaux alternatifs (alimentaires, suppléments de fines herbes)",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-2,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,2,Energy-based systems (spiritual healing),Systèmes à base d'énergie (guérison spirituelle),Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-3,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,3,Manipulative body-based therapy (osteopathy / massage therapy),"Thérapies manuelles et thérapies du corps (ostéopathie, massothérapie)",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-4,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,4,Mind-body techniques (meditation / acupuncture),"Techniques corps-esprit (méditation, acupuncture)",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-5,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,5,Therapeutic programs for persons with disabilities,Programmes thérapeutiques pour personnes handicappées,Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
C140-6,140,Complementary or Alternative Health Care,Soins de santé complémentaires ou parallèles,6,Traditional programs / whole medicine (Chinese / Ayurvedic),"Programmes traditionnels / médecine holistique (Chinois, Ayurvedic)",Other Purposes Beneficial to the Community,Autres fins qui profitent à la collectivité
